Config,N_folds,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Rec_mean,AUROC_mean,p_vs_primary,significant_(p<0.05)
baseline,5,0.9266435986159169,0.017425160293445242,0.9181788514206666,0.021798173110163806,0.9154524463889645,0.9236752916100743,0.9876933153467757,1.0,False
none_gap,5,0.9294117647058823,0.01445025122340561,0.9232137549457853,0.016274555275897138,0.9165980476144739,0.9347490347490346,0.987552080880356,0.8125,False
eca_only_gap,5,0.9238754325259515,0.014516385441801448,0.9180162691580909,0.015641937845573165,0.912931519232823,0.9259263357089444,0.9871282344768071,0.4375,False
cbam_eca_gap,5,0.9363321799307958,0.01602191958863699,0.9305106106029463,0.02023963772000428,0.9248997076941358,0.9380914864610517,0.9891543106411251,0.625,False
msaf_gem_only,5,0.9280276816608997,0.017832662597543424,0.9200008104403683,0.02081079940172175,0.9142211401492271,0.929873118460075,0.9884457406178772,0.4375,False
no_stoch_depth,5,0.9328719723183392,0.015567089106161922,0.9256344139412642,0.01775046987652162,0.9217827079612464,0.932918046505003,0.9871775219011066,0.625,False
no_gem_pool,5,0.9141868512110726,0.0158415545221586,0.9065812555426609,0.016420863643246745,0.9017437645714341,0.915640817271252,0.9852456877518451,0.3125,False
msaf_primary,5,0.9307958477508651,0.011580069571405907,0.9231519569804719,0.01120405017298043,0.9217222373799846,0.9285396350613742,0.9871184864410882,,False
msaf_primary_aux,5,0.9280276816608997,0.020223722070868477,0.9175912861532396,0.02575705643281997,0.9175293744397566,0.9219730034947426,0.9873126213299586,0.8125,False
