Config,N_folds,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Rec_mean,AUROC_mean,p_vs_primary,significant_(p<0.05)
winning_primary,5,0.9307958477508651,0.011580069571405907,0.9231519569804719,0.01120405017298043,0.9217222373799846,0.9285396350613742,0.9871184864410882,,False
focal_uniform,5,0.9238754325259515,0.015931992295116038,0.9161833073898171,0.015731391545567193,0.9132397581467663,0.9252598165641643,0.9879379593067267,0.625,False
focal_train_dist,5,0.9314878892733564,0.014417070350172768,0.9238779129954178,0.016253554857378272,0.9219767184143887,0.9293124081167561,0.9876224901077844,1.0,False
no_swa,5,0.9335640138408303,0.017562045038684453,0.9255056986691652,0.019362995816552053,0.9221528339467546,0.9329616672007977,0.9876685711404164,1.0,False
