fold,run,setting,accuracy,macro_f1,macro_precision,macro_recall,auroc_macro
Fold_1,FL_Run1_Uniform,centralized,0.9273356401384083,0.9225920721983774,0.9165481577246284,0.933423754075928,0.988960732665669
Fold_1,FL_Run1_Uniform,fl,0.9653979238754326,0.9595183380825443,0.9572755807548388,0.9630235119365553,0.991909539251427
Fold_1,FL_Run2_Heterogeneous,centralized,0.9273356401384083,0.9204714100827991,0.9220108695652174,0.924433503237851,0.9828775597165273
Fold_1,FL_Run2_Heterogeneous,fl,0.9446366782006921,0.938500136190696,0.9327569489334195,0.9490448593709463,0.9912695109553776
Fold_2,FL_Run1_Uniform,centralized,0.9273356401384083,0.9136297419056039,0.9160454430650269,0.9114175581566886,0.989183618181255
Fold_2,FL_Run1_Uniform,fl,0.9446366782006921,0.9397800030958956,0.9387027308538936,0.9411794629185932,0.9883405379917882
Fold_2,FL_Run2_Heterogeneous,centralized,0.9446366782006921,0.9349140496293795,0.929997335346627,0.9404437610959351,0.9894261920621196
Fold_2,FL_Run2_Heterogeneous,fl,0.9342560553633218,0.928483356819545,0.9165874819252221,0.944981966721097,0.987590065127526
Fold_3,FL_Run1_Uniform,centralized,0.916955017301038,0.9077542081399361,0.908790332173153,0.9081663538185277,0.9813314000138647
Fold_3,FL_Run1_Uniform,fl,0.9134948096885813,0.9013370739287113,0.9018508735685695,0.9026791119182423,0.9825004372875037
Fold_3,FL_Run2_Heterogeneous,centralized,0.9065743944636678,0.8960354031966309,0.8933166927884522,0.9009444580096755,0.9793566468571606
Fold_3,FL_Run2_Heterogeneous,fl,0.9238754325259516,0.9142610952260072,0.9058383609854199,0.9271248238639542,0.9774968392204086
Fold_4,FL_Run1_Uniform,centralized,0.9238754325259516,0.9225698240638818,0.9103271778402249,0.9428346330520243,0.986279765084159
Fold_4,FL_Run1_Uniform,fl,0.9238754325259516,0.9219914255450958,0.9106481481481481,0.9414601996123736,0.9898508974103293
Fold_4,FL_Run2_Heterogeneous,centralized,0.9238754325259516,0.9117079998537194,0.9052035401898604,0.9212935761848805,0.9890941724770681
Fold_4,FL_Run2_Heterogeneous,fl,0.8961937716262975,0.8890721294139634,0.8784647719430327,0.9086416667938407,0.9863370307109041
Fold_5,FL_Run1_Uniform,centralized,0.9134948096885813,0.9004857873606263,0.9106151711378354,0.8918492885884189,0.9775678884767118
Fold_5,FL_Run1_Uniform,fl,0.9134948096885813,0.9008392845734411,0.9190093937456228,0.8869483190135364,0.9864189436848997
Fold_5,FL_Run2_Heterogeneous,centralized,0.903114186851211,0.8880917469627148,0.9081686930091185,0.873061867627085,0.9776117180679522
Fold_5,FL_Run2_Heterogeneous,fl,0.903114186851211,0.8827104553485053,0.8972618068206303,0.8729858811380551,0.9860812742332271
