defense,severity,acc_mean,acc_std,f1_mean,f1_std
fedavg_mu0,0.0,0.9307958477508651,0.024831661062988498,0.9224299972393324,0.02772912916906313
fedavg_mu0,0.2,0.9266435986159169,0.014963147619681453,0.9178808817378702,0.016430486065806854
fedavg_mu0,0.4,0.9204152249134948,0.017127153869570363,0.9098528204002241,0.018671065631933013
fedavg_mu0,0.6,0.9266435986159169,0.01303906137122274,0.9176155424188149,0.01567228056808167
fedprox,0.0,0.9190311418685122,0.0211327771413183,0.9105306889818057,0.024692348304033652
fedprox,0.2,0.9280276816608997,0.01804623503170282,0.9199824315500866,0.019822519189300607
fedprox,0.4,0.9224913494809689,0.017745164574336475,0.913978794482855,0.021706354023226276
fedprox,0.6,0.9217993079584774,0.015590145780026045,0.910305882646003,0.019812022521196876
fedprox_trimmed,0.0,0.9238754325259515,0.01957389013665184,0.9159589402709847,0.022530112825905012
fedprox_trimmed,0.2,0.9204152249134948,0.014882915686924974,0.9121341411242941,0.018628907210767928
fedprox_trimmed,0.4,0.9134948096885813,0.014475086964257408,0.9052822157928118,0.017326784515645482
fedprox_trimmed,0.6,0.9141868512110726,0.018211345836596244,0.904152910765158,0.019612089600188558
