Run,Fold,ECE_uncal,ECE_cal,MCE_uncal,MCE_cal,Brier_uncal,Brier_cal,NLL_uncal,NLL_cal,Temperature
FL_Run1_Uniform,Fold_1,0.029839279948633904,0.0449462079259351,0.4263874888420105,0.44145143032073975,0.06927879179450946,0.06960394438471253,0.1727803498506546,0.16970126330852509,1.5147364139556885
FL_Run1_Uniform,Fold_2,0.0419348925867708,0.03157137916987328,0.36908799409866333,0.509916365146637,0.08951405838367094,0.08733341210094961,0.1926974505186081,0.18751740455627441,1.409914493560791
FL_Run1_Uniform,Fold_3,0.04927414861929867,0.027159272593197933,0.4359566569328308,0.5614229440689087,0.1385692987207594,0.1317042888211407,0.2909022271633148,0.26540806889533997,1.3733457326889038
FL_Run1_Uniform,Fold_4,0.06085680533445414,0.02871695717725788,0.725044846534729,0.5185770392417908,0.12819959586022275,0.1214783749202245,0.2929285764694214,0.25428205728530884,1.3366626501083374
FL_Run1_Uniform,Fold_5,0.05720605703786166,0.04973600820274085,0.6098811626434326,0.7966935038566589,0.13096595696737579,0.12312590646689105,0.276454359292984,0.24627843499183655,1.4304016828536987
FL_Run2_Heterogeneous,Fold_1,0.030465811594134792,0.03652888990191028,0.5072020888328552,0.5002713203430176,0.0826986124963682,0.08056748802561486,0.1966448873281479,0.18167328834533691,1.5000028610229492
FL_Run2_Heterogeneous,Fold_2,0.027846746275581716,0.026821529473400423,0.4528396427631378,0.423768013715744,0.09598191544617403,0.09424847076301548,0.2050231695175171,0.19775375723838806,1.4155750274658203
FL_Run2_Heterogeneous,Fold_3,0.051520501659815726,0.018516415130720807,0.5447106957435608,0.5040392279624939,0.12612952099464794,0.12183231186578947,0.29398274421691895,0.2591787278652191,1.429621934890747
FL_Run2_Heterogeneous,Fold_4,0.06906760192659894,0.04826417338476875,0.6178401112556458,0.5657331943511963,0.15480832540136788,0.14444787970896772,0.31037938594818115,0.2699936032295227,1.3482565879821777
FL_Run2_Heterogeneous,Fold_5,0.05786958945251252,0.048566681497237266,0.5024044513702393,0.42747026681900024,0.14618201662223296,0.13545747545606662,0.2824878990650177,0.25490203499794006,1.4572573900222778
