Fold,Epsilon_Target,Accuracy,Macro_F1,AUROC
Fold_1,inf,0.9515570934256056,0.9471065811883776,0.992671948824617
Fold_3,inf,0.9307958477508651,0.9204200256364795,0.9881214363258602
Fold_5,inf,0.9134948096885813,0.8969264280931134,0.9814847318731729
